,org_sent,processed_sent
76,We had two full size beds and it was so comfortable!,two full size bed
77,I will say that the only hiccup is when you get on elevator.,say hiccup get elevator .
78,"This is great, except for when 10-12 different groups are told to get on same elevator.",great except different group tell get elevator .
79,So there sometimes is a little wait for that.,sometimes little wait .
80,Room was pretty clean.,room pretty clean .
81,Found a pair of shoes in the closest so appeared to not be a thorough cleaning.,find pair shoe close appear thorough cleaning .
82,Location was excellent though.,location excellent though .
83,I’d stay there again just lower expectations.,stay low expectation .
84,"The best things about the room is that it was spacious, clean, modern, deep and wide bathtub, and last, ",good thing room spacious clean modern deep wide bathtub last
85,Hotel staff not polite,hotel staff polite
86,"Groupon gave us a total price,however, upon checking in the hotel charged us a $39.00 facilities fee plus tax for the room totaling $43.00.",groupon give total upon check hotel charge facility fee plus tax room total
87,For that price added to the regular price of the room we could have stayed at a 5 star hotel such as Marriott or Hilton.,price add regular price room could stay star hotel marriott hilton .
88,Good: --Staff was very nice and helpful.,good staff nice helpful .
89,--Comfortable beds.,comfortable bed .
90,--Good food court in the hotel.,good food court hotel .
91,"Not good: --When you check in they'll tell you that there's a ""mandatory"" $40 per night fee for the gym and internet and we didn't use either one.",good check tell mandatory per night fee gym internet use either one .
92,"--One evening a few of us were quietly relaxing in some comfortable chairs overlooking the bar and they made us move because ""it was time to close off that area"", which was ridiculous.",one evening quietly relax comfortable chair overlook bar make move time close area ridiculous .
93,"My rsvp wasnt on their system when i got there, so they booked another reservation, ",rsvp system get book another reservation
94,"So i paid double, and i was told i would get refunded ",pay double tell would get refund
95, its been almost a month and still nothing!,almost month still
96,Oh and they put me in a standard room ,oh put standard room
97, i had paid for a king... luckily the night manager upgraded me or it woulda just bren 1 star...,pay king luckily night manager upgrade woulda bren star
98,I love my room and the little view I had it was very nice..,love room little view nice
99, umm that hallways just creeped me just a little and I'm taking on my friends page cause I felt it was too narrow to me ,umm hallway creep little take friend page cause feel narrow
100,Random breakfast charge on my account.,random breakfast charge account .
101,Fire alarm went off at 3am.,fire alarm go
102,Security guards near elevators were rude.,security guard near elevator rude .
103,Kiosk security & receptionist were great!,kiosk security receptionist
104,"Bathroom wasnt clean , razors on floor , tub was dirty.",bathroom clean razor floor tub dirty .
105,They have nice outside and amenities appeal ,nice outside amenity appeal
106," need to take more pride in there rooms and cleanliness, if i wasnt here for just one day i would have left!",need take pride room cleanliness one day would
107,"The location is great, very central, close to times square andall the touristy attractions.",location great central close time square andall touristy attraction .
108,The rooms are extremely small.,room extremely small .
109,The beds are comfortable and air-conditioned.,bed comfortable airconditione .
110,The bathroom is very small.,bathroom small .
111,"Be aware that the hotel charges $40 more per night when you check in, as their ""resort"" fee, for internet and ""business center"".",aware hotel charge per night check resort fee internet business
112,We do not recommend this hotel.,recommend hotel .
113,For so many reasons.,many reason .
114,There isnt enough space to share details.,enough space share detail .
115,"Cockroach, Fee charged to use the facilities (what?",cockroach fee charge use facility
